Variant,Model,Train_R2,Val_R2,Test_R2,Test_MSE
Entropy only (H_sem),Ridge,0.37900204126990744,0.39772369105501015,0.23608706427303328,0.08385183706143638
Entropy only (H_sem),Random Forest,0.5063740932904046,0.3308536888025406,0.09963633072037026,0.09882951860296323
Entropy only (H_sem),XGBoost,0.6205215194585096,0.1894964510956334,-0.009267547554441702,0.11078348590653805
Entropy only (H_sem),AdaBoost,0.47389017585596105,0.3430293097489452,0.1400276993152466,0.09439591066191833
"Geometry (D_cos, M_bar)",Ridge,0.4641702140822388,0.3515937049166946,0.3670911879099443,0.06947200931427973
"Geometry (D_cos, M_bar)",Random Forest,0.6817755444607165,0.40043516552959135,0.4569416898628629,0.05960945915013747
"Geometry (D_cos, M_bar)",XGBoost,0.8020650860431477,0.3517664761990916,0.30141080725667335,0.07668149657270681
"Geometry (D_cos, M_bar)",AdaBoost,0.67051113851606,0.40611301711826164,0.4639189208342245,0.058843594864839206
Entropy + Geometry,Ridge,0.5251975822894221,0.48157616751215704,0.3493306680198862,0.07142151448731404
Entropy + Geometry,Random Forest,0.7069399887679506,0.4896284685441922,0.4409836141935817,0.061361116830290816
Entropy + Geometry,XGBoost,0.8948728959946276,0.522180999141648,0.3725452743901845,0.06887333484567047
Entropy + Geometry,AdaBoost,0.7125401020538451,0.49537300758007685,0.47018846237289746,0.058155410975073776
All 5 geometric,Ridge,0.5316360577531443,0.504406444121443,0.34752385000910824,0.07161984207460022
All 5 geometric,Random Forest,0.730621712411547,0.5616388247091653,0.4075402575888454,0.06503206774322333
All 5 geometric,XGBoost,0.9271166962198016,0.6203386780134397,0.39589391619047454,0.06631044264123277
All 5 geometric,AdaBoost,0.7501503190154915,0.5591812545844503,0.4454015904431945,0.060876172267503324
All 5 + extended,Ridge,0.5316360577531443,0.504406444121443,0.34752385000910824,0.07161984207460022
All 5 + extended,Random Forest,0.730621712411547,0.5616388247091653,0.4075402575888454,0.06503206774322333
All 5 + extended,XGBoost,0.9271166962198016,0.6203386780134397,0.39589391619047454,0.06631044264123277
All 5 + extended,AdaBoost,0.7501503190154915,0.5591812545844503,0.4454015904431945,0.060876172267503324
